1testREST,1TestRequestSendAndReceivRequestSOAP,1TestRequestSendOnlySOAP
10testREST,10TestRequestSendAndReceivRequestSOAP,10TestRequestSendOnlySOAP
100testREST,100TestRequestSendAndReceivRequestSOAP,100TestRequestSendOnlySOAP
1000testREST,1000TestRequestSendAndReceivRequestSOAP,100TestRequestSendOnlySOAP
10000testREST,10000TestRequestSendAndReceivRequestSOAP,1000TestRequestSendOnlySOAP
25000testREST,25000TestRequestSendAndReceivRequestSOAP,25000TestRequestSendOnlySOAP
50000testREST,50000TestRequestSendAndReceivRequestSOAP,50000TestRequestSendOnlySOAP
100000testREST,100000TestRequestSendAndReceivRequestSOAP,100000TestRequestSendOnlySOAP
